tweet;created_at;source
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:30:08+00:00;Twitter for iPhone
@XboxNaticos Hahahahahaha! Msm crítica q disse q o The Batman eh ruim pq “batman não ri” ou que o filme Rambo Até o fim eh muito violento! Kkk 🤡;2022-05-21 01:29:50+00:00;Twitter for iPhone
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:29:32+00:00;Twitter for Android
RT @Dc_da_depressao: Quando o assunto é o Batman, a internet tá desse jeito https://t.co/vmVx046wnO;2022-05-21 01:28:44+00:00;Twitter for Android
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:28:41+00:00;Twitter for Android
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 01:28:20+00:00;Twitter for Android
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:28:05+00:00;Twitter for Android
com licença moça o mclanche feliz do meu marido veio sem o batman;2022-05-21 01:27:55+00:00;Twitter for Android
RT @brisant_s: #SemanaLGBTQ  o adesivo do Batman 🗣️🗣️ https://t.co/FBilCOAppX;2022-05-21 01:27:02+00:00;Twitter for Android
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:26:59+00:00;Twitter for Android
A DIANA ACUSANDO O BATMAN DE FAZER PARTE DO COMITÊ DO CARLUXO KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK;2022-05-21 01:26:18+00:00;Twitter for Android
@penelopwgarcia criminal minds ( principalmente o reid ) e batman;2022-05-21 01:26:12+00:00;Twitter for Android
RT @Dc_da_depressao: Quando o assunto é o Batman, a internet tá desse jeito https://t.co/vmVx046wnO;2022-05-21 01:26:06+00:00;Twitter for Android
"bingo de filmes INCEL

fight club ✅
taxi driver ✅
scarface  ✅
pulp fiction ✅
psicopata americano✅
matrix ✅
drive  ✅
donnie darko❌
lobo de w. street ✅
500 dias com ela ✅
joker ✅
o abutre ✅
o farol ✅
ilha do medo✅
a outra história americana ✅
the batman ✅ https://t.co/oVQvG3FSq9";2022-05-21 01:26:02+00:00;Twitter for Android
#SemanaLGBTQ  o adesivo do Batman 🗣️🗣️ https://t.co/FBilCOAppX;2022-05-21 01:25:46+00:00;Twitter for Android
Sem maconha o Batman não ganha https://t.co/vQNK7l0yyL;2022-05-21 01:25:44+00:00;Twitter for Android
"@fvr_nilo Já vi a frase ""todo coringa tem a sua arlequina"", mas vou adotar a versão ""todo batman tem seu coringuinha""";2022-05-21 01:25:20+00:00;Twitter Web App
